nama_kecamatan,kabupaten_kota,provinsi,centroid_longitude,centroid_latitude
Bumiwaras,Bandar Lampung,Lampung,105.284856,-5.442282
Enggal,Bandar Lampung,Lampung,105.26274,-5.419826
Kedamaian,Bandar Lampung,Lampung,105.279748,-5.414182
Kedaton,Bandar Lampung,Lampung,105.256411,-5.391253
Kemiling,Bandar Lampung,Lampung,105.206457,-5.407392
Labuhanratu,Bandar Lampung,Lampung,105.255612,-5.375373
Langkapura,Bandar Lampung,Lampung,105.235454,-5.387539
Panjang,Bandar Lampung,Lampung,105.314218,-5.462899
Rajabasa,Bandar Lampung,Lampung,105.240621,-5.359847
Sukabumi,Bandar Lampung,Lampung,105.308724,-5.422647
Sukarame,Bandar Lampung,Lampung,105.291705,-5.381533
Tanjungkarang Barat,Bandar Lampung,Lampung,105.242003,-5.403557
Tanjungkarang Pusat,Bandar Lampung,Lampung,105.252699,-5.415078
Tanjungkarang Timur,Bandar Lampung,Lampung,105.270867,-5.414087
Tanjungsenang,Bandar Lampung,Lampung,105.277226,-5.360477
Telukbetung Barat,Bandar Lampung,Lampung,105.221457,-5.438805
Telukbetung Selatan,Bandar Lampung,Lampung,105.258237,-5.441111
Telukbetung Timur,Bandar Lampung,Lampung,105.265253,-5.463883
Telukbetung Utara,Bandar Lampung,Lampung,105.26341,-5.436378
Wayhalim,Bandar Lampung,Lampung,105.280184,-5.387146
